School,Degree,A_Level_IGP,Poly_IGP,Percentage_Of_Employed_Graduates,Mean_Gross_Monthly_Salary,riasec_code,related_subject1,related_subject2,related_subject3,additional_information,a_level_prerequisite_subjects,a_level_prerequisites
NUS,Business Analytics,AAAA,3.81,100,5603,ec,mathematics,economics,computing,,mathematics,h2 mathematics
NUS,Computer Science,AAAA,3.84,99.1,6002,ric,mathematics,computing,physics,,mathematics,h2 mathematics
NUS,Information Security,AAAB,3.8,100,5095,rs,mathematics,computing,physics,,mathematics,h2 mathematics
NUS,Information Systems,AAAB,3.76,97.5,5217,rs,mathematics,computing,physics,,mathematics,h2 mathematics
NUS,Computer Engineering,AABB,3.88,97.4,5473,r,mathematics,computing,physics,,"mathematics,chemistry,physics",h2 mathematics and h2 chemistry or h2 physics
NUS,Data Science & Economics,AAAB,,,,ic,mathematics,computing,economics,,mathematics,h2 mathematics
NUS,Environmental Studies,AABC,,97.4,3658,ri,mathematics,chemistry,biology,,biology,h2 biology
NUS,Food Science & Technology,AAAA,3.86,,,ri,chemistry,biology,mathematics,,"mathematics,physics,chemistry,biology,computing",h2 mathematics or h2 chemistry or h2 biology or h2 computing
NUS,Humanities & Sciences,ABBC,3.67,,,ias,general paper,history,literature,,general paper,h1 general paper
NUS,Pharmaceutical Sciences,AAAA,,,,ri,mathematics,chemistry,biology,,"chemistry,biology,physics,mathematics",h2 chemistry and h2 biology or h2 physics or h2 mathematics
NUS,Pharmacy,AAAA,3.86,95.9,3923,ri,mathematics,chemistry,biology,,"chemistry,biology,physics,mathematics",h2 chemistry and h2 biology or h2 physics or h2 mathematics
NUS,"Philosophy, Politics & Economics",AAAA,,,,ic,mathematics,literature,economics,selection test/interview needed,null,null
NUS,Business Administration,AABC,3.68,94.7,5567,ec,mathematics,economics,general paper,,mathematics,h2 mathematics
NUS,Business Administration (Accountancy),AABB,3.78,100,3515,ec,mathematics,economics,accounting,,mathematics,h2 mathematics
NUS,Real Estate,BBCB,3.52,94.5,3863,ec,mathematics,economics,general paper,,"mathematics,chemistry,physics",h2 mathematics and h2 chemistry or h2 physics
SIT,Information Security,,,100,5251,rs,mathematics,computing,physics,,mathematics,h2 mathematics
SIT,Software Engineering,,,100,5215,ric,mathematics,computing,physics,,"mathematics,physics,chemistry,biology,computing,general paper",h2 mathematics or h2 physics or h2 chemistry or h2 biology or h2 computing and h1 general paper
SIT,Computer Science,,,,,ric,mathematics,computing,physics,,"mathematics,physics,chemistry,biology,computing,general paper",h2 mathematics or h2 physics or h2 chemistry or h2 biology or h2 computing and h1 general paper
SIT,Computer Science in Interactive Media and Game Development,,,,,ric,mathematics,computing,physics,,"mathematics,physics,chemistry,biology,computing,general paper",h2 mathematics or h2 physics or h2 chemistry or h2 biology or h2 computing and h1 general paper
SIT,Computer Science in Real-Time Interactive Simulation,,,95.1,4984,ric,mathematics,computing,physics,,"mathematics,physics,chemistry,biology,computing,general paper",h2 mathematics or h2 physics or h2 chemistry or h2 biology or h2 computing and h1 general paper
SIT,Applied Artificial Intelligence,,,,,ric,mathematics,computing,physics,,"mathematics,physics,chemistry",h2 mathematics or h2 physics or h2 chemistry
SIT,Digital Supply Chain,,,,,ric,mathematics,computing,business,,"mathematics,physics,chemistry",h2 mathematics or h2 physics or h2 chemistry
SIT,Applied Computing (with specialisation in Fintech),,,,,ric,mathematics,computing,economics,,"mathematics,physics,chemistry,biology,computing,general paper",h2 mathematics or h2 physics or h2 chemistry or h2 biology or h2 computing and h1 general paper
SIT,Dietetics & Nutrition,,,,,ri,physical education,biology,chemistry,,"mathematics,physics,chemistry,biology",h2 mathematics or h2 physics or h2 chemistry or h2 biology
SIT,Diagnostic Radiography,,,100,3880,ri,biology,chemistry,mathematics,,"mathematics,physics,chemistry,biology",h2 mathematics or h2 physics or h2 chemistry or h2 biology
SIT,Physiotherapy,,,97.9,3591,s,biology,chemistry,physical education,,"mathematics,physics,chemistry,biology",h2 mathematics or h2 physics or h2 chemistry or h2 biology
SIT,Occupational Therapy,,,100,3546,s,biology,chemistry,general paper,,"mathematics,physics,chemistry,biology",h2 mathematics or h2 physics or h2 chemistry or h2 biology
SIT,Speech & Language Therapy,,,,,s,biology,chemistry,general paper,,"mathematics,physics,chemistry,biology,economics",h2 mathematics or h2 physics or h2 chemistry or h2 biology and h1 economics
SIT,Radiation Therapy,,,100,3328,i,biology,chemistry,general paper,,"mathematics,physics,chemistry,biology",h2 mathematics or h2 physics or h2 chemistry or h2 biology
